id;ano ingresso;per. ingresso;coeficiente;escore vest;nota enem;idade;período do aluno;MEDIA_NOTAS;MEDIA_FREQUENCIA;TAXA_APROVACAO;QTD_REPROVACOES_NOTA;QTD_REPROVACOES_FREQ;EVASAO;curso_Ciência Da Computação;curso_Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas;forma de ingresso_Aproveitamento de Curso;forma de ingresso_Complementação da lista de espera do SISU;forma de ingresso_PEC-G - Programa de Estudantes Convênio de Graduação;forma de ingresso_Reopção de Curso;forma de ingresso_SISU - Sistema de Seleção Unificada;forma de ingresso_Transferência;forma de ingresso_Transferência ex-officio;forma de ingresso_Vestibular;tipo de cota_Ampla concorrência;tipo de cota_Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;tipo de cota_Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;tipo de cota_Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);tipo de cota_Candidatos com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;tipo de cota_Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;tipo de cota_Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;tipo de cota_Categoria 1 - cotista oriundo de família com renda, comprovada, igual ou inferior a 1,5 salários mínimos (um salário-mínimo e meio) per capita e que não se declarou preto, pardo ou indígena;tipo de cota_Categoria 2 - cotista oriundo de família com renda, comprovada, igual ou inferior a 1,5 salários mínimos (um salário-mínimo e meio) per capita e autodeclarado preto, autodeclarado pardo ou autodeclarado indígena;tipo de cota_Categoria 3 - cotista independente de renda (sem necessidade de comprovação) e que não se declarou preto, pardo ou indígena;tipo de cota_Categoria 4 - cotista independente de renda (sem necessidade de comprovação) e autodeclarado preto, autodeclarado pardo ou autodeclarado indígena;tipo de cota_Cotista;tipo de cota_Sem política de cotas;sigla cota_Categoria 1;sigla cota_Categoria 2;sigla cota_Categoria 3;sigla cota_Categoria 4;sigla cota_Categoria L01 (1S);sigla cota_Categoria L02 (2S);sigla cota_Categoria L05 (3S);sigla cota_Categoria L06 (4S);sigla cota_Categoria L10 (2C);sigla cota_Categoria L13 (3C);sigla cota_Cotista;sigla cota_Não cotista;sigla cota_Sem cotas;escola pública?_-;escola pública?_Escola Particular;escola pública?_Escola Pública;sexo_F;sexo_M;grupo (étnico)_Amarela;grupo (étnico)_Branca;grupo (étnico)_Indígena;grupo (étnico)_Não declarado;grupo (étnico)_Parda;grupo (étnico)_Preta;grupo (étnico)_Sem informação
+bwsow;2010;1;0,0222;5403,3335;634,3;37;1;0,16666666666666666;34,800000000000004;0,0;0,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;True;False;False;False
f511wn;2010;1;0,1852;5403,3335;623,2;27;1;1,9166666666666667;72,91666666666667;0,0;4,0;0,0;1;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;False;False;False;False;False
gwhga8;2010;1;0,1644;5403,3335;588,9;39;1;1,7166666666666666;69,5;0,0;3,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;True;False;False;False
t5fkjk;2010;1;0,0;5403,3335;683,2;30;1;0,0;0,0;0,0;0,0;0,0;1;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;True;False;False;False;False;False
3ewz5c;2010;1;0,2559;5403,3335;650,5;27;1;2,4833333333333334;76,53333333333333;0,0;4,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;True;False;False;False
bs4fpx;2010;1;0,0222;5403,3335;617,1;36;1;0,16666666666666666;49,31666666666666;0,0;1,0;0,0;1;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;False;True;False;False;False
quuiow;2010;1;0,5989;5403,3335;686,5;36;2;6,216666666666666;96,56666666666666;0,0;2,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False
o711wn;2010;1;0,0;5403,3335;602,0;28;1;5,107092555331992;77,502;0,0;3,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;True;False;False;False;False;False
eg335c;2010;1;0,1474;5403,3335;570,4;27;1;2,066666666666667;85,63333333333333;0,0;4,0;0,0;1;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;True;False;False;False
ya8mwn;2010;1;0,2878;5403,3335;651,6;30;1;3,483333333333333;90,18333333333334;0,0;5,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;True;False;False;False;False;False
nxd5ow;2010;1;0,1519;5403,3335;609,2;26;1;2,15;78,05;0,0;3,0;0,0;1;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;True;False;False;False;False;False
788a5c;2010;1;0,3415;5403,3335;623,7;27;1;4,083333333333333;94,95;0,0;4,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False
nh1pjk;2010;1;0,2575;5403,3335;626,8;27;1;3,2133333333333334;71,86666666666666;0,0;4,0;0,0;1;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;False;False;False;False;False
31hbpx;2010;1;0,1643;5403,3335;610,2;37;1;1,7916666666666667;40,875;0,0;0,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;True;False;False;False
8g8a5c;2010;1;0,4652;5403,3335;638,0;29;2;5,076190476190477;89,32380952380952;0,0;11,0;0,0;0;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;False;True;False;False;False
bfo4ff;2010;1;0,15593;5403,3335;596,5;27;1;1,3782608695652174;48,082608695652176;0,0;6,0;0,0;1;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;False;False;False;False;False
yyttjk;2010;1;0,37963;5403,3335;605,5;27;1;4,55;83,13;0,0;8,0;0,0;1;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;True;False;False;False
xdnpwn;2010;1;0,24147;5403,3335;665,9;28;1;2,728125;63,396875;0,0;6,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;True;False;False
u9oc9t;2010;1;0,2021;5403,3335;649,6;27;1;2,356666666666667;55,15;0,0;8,0;0,0;1;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;False;False;False;False;False
u68+bz;2010;1;0,4841;5403,3335;700,6;45;2;5,45;88,825;0,0;5,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False
acd5ow;2010;1;0,4162;5403,3335;573,0;28;1;5,073684210526316;87,02105263157895;0,0;8,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;True;False;False;False;False;False
5amba8;2010;1;0,8449;5403,3335;706,9;26;8;8,432075471698113;93,35769230769232;0,0;0,0;0,0;0;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;True;False;False
zkena8;2010;1;0,35701;5403,3335;630,0;32;2;4,105555555555556;78,71666666666667;0,0;4,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False
e+8+bz;2010;1;0,54388;5403,3335;659,2;28;2;5,487096774193549;84,55806451612904;0,0;8,0;0,0;1;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;True;False;False;False;False;False
n1kna8;2010;1;0,7375;5403,3335;654,3;28;8;7,407017543859649;91,37678571428572;0,0;1,0;0,0;0;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;True;False;False;False
gyefpx;2010;1;0,6633;5403,3335;622,45;27;8;6,810294117647059;94,2820895522388;0,0;9,0;0,0;0;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;True;False;False;False;False;False;False
744qjk;2010;1;0,7033;5403,3335;593,8;27;8;7,080327868852459;92,53500000000001;0,0;4,0;0,0;0;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;False;False;False;False;False
c887ff;2010;1;0,7684;5403,3335;595,6;27;8;7,869811320754717;97,1826923076923;0,0;0,0;0,0;0;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False
c5yqwn;2010;1;0,6757;5403,3335;666,0;27;8;6,912903225806452;88,43442622950819;0,0;3,0;0,0;0;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;False;False;False;False;False
5d7iff;2010;1;0,7771;5403,3335;705,8;28;8;7,855555555555555;94,48301886792453;0,0;0,0;0,0;0;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;False;False;False;False;False
