"Relação de Alunos Desistência dos Cursos – PG
Bacharelado em Ciência da Computação 
Tecnologia Em Análise E Desenvolvimento De Sistemas",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
#,id,Ano Ingresso,Per. Ingresso,Curso,Forma de Ingresso,Tipo de Cota,Sigla Cota,Escola Pública?,Coeficiente,Escore Vest,Nota Enem,Sexo,Idade,Data Nascimento,Cidade,Estado,Grupo (Étnico),Situação Atual do Aluno,Período do Aluno,Ano Desistência,Período Desistências
1,+bwsow,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,0222",,"634,3",M,37,30/07/1982,Ponta Grossa,PR,Não declarado,Desistente,1,2010,1
2,f511wn,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,1852",,"623,2",M,27,18/10/1991,Ibaiti,PR,Branca,Desistente,1,2010,1
3,gwhga8,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,1644",,"588,9",M,39,05/09/1980,Curitiba,PR,Não declarado,Desistente,1,2010,1
4,t5fkjk,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,0,,"683,2",F,30,10/02/1989,Castro,PR,Branca,Desistente,1,2010,1
5,3ewz5c,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,2559",,"650,5",M,27,03/07/1992,São Vicente,SP,Não declarado,Desistente,1,2010,1
6,bs4fpx,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,0222",,"617,1",F,36,09/06/1983,Ponta Grossa,PR,Não declarado,Desistente,1,2010,1
7,quuiow,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,5989",,"686,5",F,36,22/09/1983,Ponta Grossa,PR,Branca,Desistente,2,2010,2
8,o711wn,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,0,,602,M,28,27/06/1991,Ponta Grossa,PR,Branca,Desistente,1,2010,2
9,eg335c,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,1474",,"570,4",M,27,24/07/1992,Ponta Grossa,PR,Não declarado,Desistente,1,2010,2
10,ya8mwn,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,2878",,"651,6",M,30,28/02/1989,Ponta Grossa,PR,Branca,Desistente,1,2010,2
11,nxd5ow,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,1519",,"609,2",F,26,16/11/1992,Ponta Grossa,PR,Branca,Desistente,1,2010,2
12,788a5c,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,3415",,"623,7",F,27,27/12/1991,Ponta Grossa,PR,Branca,Desistente,1,2011,1
13,nh1pjk,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,2575",,"626,8",M,27,26/06/1992,Imbituva,PR,Branca,Desistente,1,2011,2
